position,reference_number,location,closing_date,package,requirements,duties,enquiries,link
CLINICAL PROGRAM COORDINATOR,refs/034961,Leratong Hospital,2026/01/16,R 549 192 per annum (Plus Benefits),"Grade12 or equivalent/NQF level/. A R425 qualification (i.e., diploma / degree in nursing) or equivalent qualification that allows registration with SANC as a professional nurse. Current registration with SANC. A minimum of 7 years appropriate/recognisable experience in nursing after registration as Professional Nurse with the SANC in General Nursing, of which 3 years must be relevant experience in Occupational Health and Safety environment. A post basic nursing qualification with duration of at least 1 year accredited by SANC in Occupational Health Safety. Current SANC registration. Basic computer literacy and driver’s license are mandatory. Knowledge of Occupational Health AND safety Act 85 of 1993, COID Act 130 of 1993 including other related legal framework and PRAAD. Knowledge and application of policies governing the Public Service including Quality Assurance, PILIR, PRAAD and EHWP Strategic Framework. Be able to work independently. Skilled to develop on-going training in OHS principles to all categories of staff good communication, report writing and facilitation skills. Sound organizing, planning, presentation skills. Counselling, decision making, good communication skills.","Implementation of Occupational Health and Safety Act 85 of 1993 and COID Act 130 of 1993. Conduct workplace hazard identification and risk assessment (HIRA) in liaison with managers and ensure there are safe operating procedures where necessary. Conduct training to all categories of personnel. Perform medical surveillance. Maintain all appropriate records and documents relevant to OHS. Participate in Institutions’ and Province’s determined Committees, Task Teams, and Forum for service improvement. Facilitate, implementation of National, Provincial legislation regarding OHS protocols and monitoring thereof. Develop and monitor the implementation of education and training programs in field. Active participation in Employees wellness program. Assist with waste management. Management of (IOD)injury on duty. Active participation in PILIR committee development and maintenance of OHS structure according to legal requirements. Working closely with IPC and EAP coordinators.",Ms N Serobatse (011) 411-3563 / Ms M Mabiletse (011)411-3677,https://jobs.gauteng.gov.za/Public/ViewJob.aspx?u=E7CSZ5GRR4E7dh6BW+s38Q==
PORTERS LEVEL 2,REFS/034960,Leratong Hospital,2026/01/16,R 138 486 per annum (PLUS BENEFITS),"Grade 10/ABET level 4, vocational studies or equivalent. Must be able to read and write, be able to communicate in more than one official language. Knowledge of Batho Pele Principles and other legislated prescripts.","Ensure transportation of patient from one point to the other, assist in off-loading of patients from private cars and ambulance, ensure availability of clean wheelchairs and stretchers for patient use, assist in mortuary during weekends, after hours and public holidays. Record mortuary temperatures during weekends, public holidays. Must be able to push patients on a stretcher or wheelchair. Be able to perform any other duties as requested by the supervisor.",Ms N Serobatse (011) 411-3563 / Ms M Mabiletse (011)411-3677,https://jobs.gauteng.gov.za/Public/ViewJob.aspx?u=57glvgJbW+LZ7A9Nhblgyw==
OPERATOR LEVEL 3,REFS/034959,Leratong Hospital,2026/01/16,R 163 680.00 per annum (plus benefits),Grade 10 or equivalent NQF Level 2. Be able to read and write English. Good communication and planning skills. Experience in CSSD and Theatre will be an added advantage. Must be prepared to work under pressure and in a team. Must be able to cope with physical demands of the positions. Good understanding of Batho Pele Principles. Be prepared to work shifts and be on rotations.,"Be able to maintain infection prevention and control. Knowledge of Principle of infection control in the working area and differentiate between a clean and dirty area. Dispose waste according to internal policy. Collect CSSD instruments from Emergency Department (Casualty), Maternity, ICU and Theatres. Responsible to ensure that the instruments and Loan Sets received are complete and in good working condition. Responsible for cleaning, sorting, compiling, packing and autoclaving of instruments. Packing of soft packs. Be able to operate instrument washer and autoclaves. Unpack clean linen from Linen Room, folding of linen and gowns according to principles. Attend to instruments register and daily stats. Run Attest and Bowie Dick tests for quality control. Maintain growth / ethical standard and self – development. Perform duties as required per job description. Ensure that Surgeons’ boots are cleaned regularly. Perform any other lawful and reasonable duties as delegated by the Supervisor. Work under Supervision of a Professional Nurse.",Ms N Serobatse (011) 411-3563 / Ms M Mabiletse (011)411-3677,https://jobs.gauteng.gov.za/Public/ViewJob.aspx?u=57glvgJbW+Ku1vNSGU/jOg==
SECURITY LEVEL 3,REFS/034958,Leratong Hospital,2026/01/16,R 163 680.00 per annum (Plus Benefits),"Grade 10 or equivalent qualification, Grade C security certificate with valid PSIRA registration. No criminal record. Ability to read and write. Applicants must be able to communicate in more than one official languages. Must be prepared to work shifts, weekends, and public holidays. Knowledge of security prescripts governing the public sector. Knowledge of Batho Pele principles","Ensure safety and security of staff, assets and visitors, mending of the access control, searching of vehicles, staff and patients entering and leaving the institution. Perform hourly patrols within the institution, parking areas, around perimeter fence and report any abnormalities or suspicious moves. Monitor the CCTV camera. Attend sectional meetings and present reports. Assist in other units through backups.",Ms N Serobatse (011) 411-3563 / Ms M Mabiletse (011)411-3677,https://jobs.gauteng.gov.za/Public/ViewJob.aspx?u=57glvgJbW+JhXqiPuI3QTw==
DRIVERS LEVEL 4,REFS/034957,Leratong Hospital,2026/01/16,R 193 359.00 per annum (Plus Benefits),"Grade 12 or equivalent with 3-5 years as a driver. Valid code 10/14 drivers’ licence with PDP. Candidates must have an unendorsed driver’s licence. Must have knowledge of surrounding hospital, and clinics. Must understand legislative prescripts governing the health sector.",": Transportation of staff, patient and documents. Report any faults regarding the vehicle, be able to change flat tyre if a need arises. Ensure cleanliness of the vehicle. Conduct pre/post trip inspections before embarking on a trip and after using a car. Ensure safe and timeous transportation of staff and patients. Be able to work shifts. Ensure compliance with the department of transport handbook. Report any damages on the vehicles within 24hours. Compile an incident report to report damages. Be able to perform any other duties as requested by the supervisor.",Ms N Serobatse (011) 411-3563 / Ms M Mabiletse (011)411-3677,https://jobs.gauteng.gov.za/Public/ViewJob.aspx?u=57glvgJbW+LIB8faRsAlWw==
FOOD SERVICE SUPERVISOR LEVEL 4,REFS/034956,Leratong Hospital,2026/01/16,R 193 359.00 per annum (Plus Benefits),"Grade 10 with at least 3 - 5 years’ experience in a foodservice unit or Grade 12 or higher with 2 – 4 years’ experience in a foodservice unit. Knowledge of equipment and food preparation processes. Knowledge of hygiene and safety principles. Able to work shifts and public Holidays. Be able to rotate to different areas within the food service department. Good communication in English (verbal, written and numerical skills). Must be able to communicate well with people at different levels. Must be able to take initiative. Must be able to work in a team and under pressure. Good planning and organizational skills. Be able to handle conflict. Basic computer literacy would be an advantage.","Responsible for supervision of all food service personnel and their activities. Responsible for the receiving, storage, issuing and maintaining of stock control. Assist with cost control measures (key control measures). Responsible for supervision of production processes, portioning, dishing up and distribution of meals. Assist with client satisfaction survey and plate wastage. Responsible for the implementation of hygiene and safety processes in the foodservice unit. Responsible for the PMDS of subordinate staff in area of supervision. Assist with disciplinary measures in area of supervision. Render administrative duties according to duty roster. Adhere to all food service guidelines, policies and procedures. Comply with Occupational Health and Safety Act. Perform duties as allocated by the next level manager.",Ms N Serobatse (011) 411-3563 / Ms M Mabiletse (011)411-3677,https://jobs.gauteng.gov.za/Public/ViewJob.aspx?u=57glvgJbW+I5tmYtDeCWWg==
FOREMAN/SUPERVISORS LEVEL 4,REFS/034955,Leratong Hospital,2026/01/16,R 193 359.00 per annum (Plus Benefits),"Grade 12 or equivalent with 3-5 years in cleaning department. Microsoft package. Supervisory skills. Knowledge of occupational health and safety act, infection control and other legislative prescripts that govern the public sector.","Allocation of cleaners in every unit, conduct spot checks in every unit to ensure a clean and hygienic environment. Ensure availability of cleaning chemicals, consumables and equipment. Ensure that medical/general waste is removed from the units to central storage. Liaise with external stakeholders for collection of waste. Ensure that cleaning is performed twice per and when a need arises. Ensure replenishing of consumables in the bathrooms, public toilets. Compile and presents sectional reports, ensure performance of staff. Ensure timeous submission of documents. Compile a checklist and ensure compliance to it. Ensure adherence to the work schedule. Ensure that cleaners report on duty, perform their duties as expected and leave at the appropriate time. Put measures against extended tea/lunch breaks. Be able to perform any other duties as requested by the supervisor.",Ms N Serobatse (011) 411-3563 / Ms M Mabiletse (011)411-3677,https://jobs.gauteng.gov.za/Public/ViewJob.aspx?u=57glvgJbW+LpvK/l/L6tYw==
LOGISTICS OFFICER LEVEL 7,REFS/034954,Leratong Hospital,2026/01/16,R 325 101.00 PER ANNUM (PLUS BENEFITS),"Grade 12 or equivalent with 3-5years as a supervisor in cleaning department. A National Diploma (NQF level 6/7) in Public Management/Administration, Business administration, Logistics management will be an added advantage. Must have computer skills. Departmental policies procedures, public finance management act. Basic knowledge of legislations, project management, Batho Pele Principles, planning, organising. Understanding of infection control and occupational health and safety.","Supervise the foreman/ supervisors in cleaning department. Ensure allocation of cleaners in every unit, ensure availability of cleaning chemicals and equipment. Conduct spot checks in every unit to ensure a clean and hygienic environment. Ensure that high dusting and scrub downs are performed. Ensure that fogging is done when requested. Ensure collection of medical and medical waste from the units, ensure cleanliness of the central storage. Ensure performance management of staff, compile and present reports for cleaning department. Checking compliance with signing of attendance register and checklist in different units. Be able to perform any other duties as requested by the supervisor.",Ms N Serobatse (011) 411-3563 / Ms M Mabiletse (011)411-3677,https://jobs.gauteng.gov.za/Public/ViewJob.aspx?u=57glvgJbW+IrZt+Cf0voxQ==
LOGISTICS OFFICER LEVEL 7,REFS/034953,Leratong Hospital,2026/01/16,R 325 101.00 PER ANNUM (PLUS BENEFITS),"Grade 12 or equivalent with 3-5 years in transport department. A National Diploma (NQF level 6/7) in public management/ administration, Business administration, Logistics management or Fleet management will be added advantage Computer skills (Micro soft office). Valid code 10/14 Drivers licence with valid PDP. Good understanding of relevant legislations and prescripts. Departmental policies procedures, public finance management act. Basic knowledge of legislations, project management, Batho Pele Principles, planning, organising and Departmental transport handbook.","Plan and allocate trips for the drivers, ensure compliance with pre and post trip inspections. Ensure that cars are used for official trips only staff and patients. Ensure cleanliness of vehicles. Ensure availability of drivers and collection of stock. Draft compliant off duties for staff. Attend weekly/monthly meetings. Book for cars when they are due for repairs/maintenance. Liaise with G-Fleet when it is time to replace vehicles, report any damages and losses to G-fleet. Follow up on traffic fines and allocate them to relevant individuals. Put measures that are in line with the departmental policies to prevent misuse of vehicles and petrol cards. Ensure performance management of staff, compile and present reports for transport department. Be able to perform any other duties as requested by the supervisor.",Ms N Serobatse (011) 411-3563 / Ms M Mabiletse (011)411-3677,https://jobs.gauteng.gov.za/Public/ViewJob.aspx?u=57glvgJbW+K7Zb+sThOpig==
COMMUNICATIONS OFFICER LEVEL 7,REFS/034952,Leratong Hospital,2026/01/16,R 325 101.00 PER ANNUM (PLUS BENEFITS),"Grade 12 and a National Diploma (NQF level 6/7) in Public Management/ Administration, Communications, Journalism, Marketing, Business administration with 3-5 years in Communications environment. Computer skills (Microsoft office) Driver’s licence will be an added advantage. Good understanding of relevant legislations and prescripts. Excellent communication skills (verbal and written) Understanding of the media environment. Research, scripting, content management, editing, proof reading and project management skills. Must be able to meet deadlines and work extra hours when a need arises. Departmental policies procedures, public finance management act. Basic knowledge of legislations, project management, Batho Pele Principles, planning and organising, event management.","Provide an effective communication support service to the institution. Implement and assist with design, layout and cover concepts for departmental reports. Develop and implement creative concepts and products for departmental campaigns, projects, events, events invitations, exhibitions, branding of promotional items. Develop and implement multimedia content, including photographs and digital publications. Provide advice and ensure correct application of the logo in line with the prescripts. Archiving all visuals and publication produced. Manage the social media page for the hospital. Ensure development and implementation of the communication strategy that is in line with strategic objective of the department. Support program coordinators to facilitate functions within the hospital. Co-lead all internal and external communication initiatives of the institution. Ensure production of hospital newsletter and electronic website. Write regular opinion pieces for the institution. Forge relationship with media houses and other stakeholders. Ensure performance management of staff, compile and present reports for transport department. Attend weekly/monthly meetings Be a secretary for the hospital board and participate in various committees. Be responsible for personnel performance evaluation (PMDS) within regulated timelines and monitoring of attendance. Perform any other lawful duties as delegated by next level Supervisor.",Ms N Serobatse (011) 411-3563 / Ms M Mabiletse (011)411-3677,https://jobs.gauteng.gov.za/Public/ViewJob.aspx?u=57glvgJbW+IsVHrUSAaGMw==
