Title,Reference Number,Location,Closing Date,Remuneration,Duties,Enquiries,Minimum Educational Qualification,Employment Type
Registrar (Dental) (Orthodontics) (4-year contract) (3 posts),MHS789/2025 Oral Health Centre; Chief Directorate: Metro Health Services,Oral Health Centre; Chief Directorate: Metro Health Services,1/9/2026,R 1 001 349 per annum - R 1 046 763 per annum A portion of the package can be structured according to the individual's personal needs.,Rendering of service and research on combined platform as determined by the Head of department. Undergraduate teaching and training on the platform of Oral Health Centre (includes satellite clinics) as required by the Head of department. Completion of the 4 years (48 months) academic requirements for MChD Degree at UWC. Administration duties as determined by the Head of Department.,Prof D Joubert (021) 937 3121/3106 or dejoubert@uwc.ac.za.,A qualification that allows registration with the Health Professions Council of South Africa (HPCSA) as a Dentist.,Contract Reference No: MHS789/2025 Oral Health Centre; Chief Directorate: Metro Health Services
Medical Specialist Grade 1 to 3 (Family Physician),MHS812/2025 Crossroads Community Day Centre; Chief Directorate: Metro Health Services,Crossroads Community Day Centre; Chief Directorate: Metro Health Services,1/9/2026,Grade 1: R 1 341 855 per annum; Grade 2: R 1 531 032 per annum; Grade 3: R 1 773 222 per annum A portion of the package can be structured according to the individual's personal needs.,"Clinical services as a consultant and clinician. Clinical teaching and training. Clinical Governance and quality management. Academic educational activities, teaching of undergraduate and postgraduate students and research. People management of clinical staff and supporting the budget management related to clinical services.","Dr. J Morgan, e-mail, Jennie.Morgan@westerncape.gov.za",Appropriate qualification that allows registration with the Health Professions Council of South Africa (HPCSA) as a Medical Specialist in Family Medicine.,Permanent Reference No: MHS812/2025 Crossroads Community Day Centre; Chief Directorate: Metro Health Services
Clinical Nurse Practitioner Grade 1 to 2 (Primary Health Care),MHS794/2025 Delft Community Health Centre,Delft Community Health Centre,1/9/2026,"Grade 1: R 476 367 - R 559 548 per annum, Grade 2: R 583 989 - R 723 954 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Treatment of patients on Primary Health Care level with regards to Curative Services, Communicable Diseases, Mental Health and Chronic Diseases within the scope of practice. Render effective child and school health services, including the integration of nutritional services, within the scope of practice. Render effective Women’s Health including Antenatal services within the scope of practice. Assist with management and execution of all relevant HAST Programmes (TB, STI and HIV/AIDS). Work as part of the multi-disciplinary team to ensure quality, promotive, preventive and curative Primary Health Care delivery. To be an advocate for patients to ensure the provision of quality Health Care necessary.","Ms. K Levy, tel. no. (021) 954 2237","Basic R425 qualification (i.e. diploma/degree in nursing) or equivalent qualification that allows registration with the South African Nursing Council (SANC) as Professional Nurse and Midwife. A post-basic qualification with a duration of at least 1-year Diploma in Clinical Nursing Science: Health Assessment, Treatment and Care, accredited with SANC (R48).",Permanent Reference No: MHS794/2025 Delft Community Health Centre
Operational Manager Nursing (Primary Health Care),"GRD196/2025 Touwsranten CC, George Sub-district, Garden Route District","Touwsranten CC, George Sub-district, Garden Route District",1/9/2026,"R 693 096 per annum - R 789 861 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Effective management of Support Services which includes, Information Management with regards to data collection, verification, report writing and submission of data, Human Resources (supervision of staff, development and performance management), Finance and Supply Chain Management to ensure effective budgeting and control. Control over infrastructure, maintenance and security. Liaise with relevant stakeholders including Facility Committees. Co-ordinate and evaluate Health programmes in respected area. Co-ordinate and evaluate Community Based Health Services in respected area. Overall management of clinic.","MS MJF Marthinus, tel. no. (044) 814 - 1100","Basic R425 qualification (i.e. diploma/degree in nursing) or equivalent qualification that allows registration with the South African Nursing Council (SANC) as a Professional Nurse and Midwife. Post-basic qualification with duration of at least 1-year Diploma in Clinical Nursing Science: Health Assessment, Treatment and Care (R48), accredited with SANC.","Permanent Reference No: GRD196/2025 Touwsranten CC, George Sub-district, Garden Route District"
Administration Clerk: Support,"MHS816/2025 Hanover Park Community Health Centre, Chief Directorate: Metro Health Services","Hanover Park Community Health Centre, Chief Directorate: Metro Health Services",1/9/2026,"R 228 321 - R 268 950 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Registration and capturing of patient information on PHCIS. Recordkeeping, filing, retrieving, tracing of folders, disposal and archiving of folders. Effective and efficient handling of patient documentation. Perform relief duties within facility as needed. Effective and efficient handling of enquiries.","Mrs M James, tel. no. (021) 684-1302",Senior Certificate (or equivalent).,"Permanent Reference No: MHS816/2025 Hanover Park Community Health Centre, Chief Directorate: Metro Health Services"
Administration Clerk: Support Services (2 Posts),GSH346/2025 Groote Schuur Hospital,Groote Schuur Hospital,1/9/2026,"R 228 321 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Providing administration and secretarial support services, office management, and reception functions. Answering telephonic queries and delivering messages. Ordering of stationery, equipment, and office consumables. Typing of documents, reports, correspondence, and keeping an effective filing system. Prepare meetings and take minutes. Ensure timely submission of statistical data, as well as collate and compile databases, rosters, and monthly reports.","Mrs C Makeba, Tel no. (021) 404 4038.",Senior Certificate (or equivalent).,Permanent Reference No: GSH346/2025 Groote Schuur Hospital
Personnel Officer,"HO203/2025 Directorate: People Strategy, Head Office: Bellville Health Park","Directorate: People Strategy, Head Office: Bellville Health Park",1/9/2026,"R 228 321 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Assist with research pertaining to policy formulation on Organisational development, structural changes in the Health Environment. Render general administrative support services. Arrange meetings, workshops, and stakeholder consultations. Provide efficient support services to the component.","Mr TBR Petersen, Email: theodore.petersen@westerncape.gov.za",Senior Certificate or equivalent (NQF 4).,"Permanent Reference No: HO203/2025 Directorate: People Strategy, Head Office: Bellville Health Park"
Administration Clerk: Support,"MHS822/2025 Khayelitsha Eastern Sub-structure Office, Chief Directorate: Metro Health Services","Khayelitsha Eastern Sub-structure Office, Chief Directorate: Metro Health Services",1/9/2026,"R 228 321 - R 268 950 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Provide effective and efficient general office administration, including logistical support, coordinating meetings and visits, minute taking, file administration and outreach or events support. Administrative support to the Health Program, Health Services including support to NPO partners and other Stakeholders. Ensure compliance with the appropriate Financial Management prescripts. Assist with the budget breakdowns for the NPO, contract documents and update the NGO’s records/files accordingly. Supply Chain Management function with regard to ordering of stationary, stock Information, Education and Communication materials (receive and distribute) and maintaining an up-to-date inventory of stock. Administer the GMT system at the designated authority level, ensuring timely completion of trip authorities and overnight travel applications. Submit monthly security reports where applicable. Load maintenance request on DOHENG portal. Assist and support the supervisor and Programme and Services Manager(s).","Mr M Strauss, tel. no. (021) 360-4662",Senior Certificate (or equivalent) qualification.,"Permanent Reference No: MHS822/2025 Khayelitsha Eastern Sub-structure Office, Chief Directorate: Metro Health Services"
Household Aid,CWD202/2025 Robertson Hospital,Robertson Hospital,1/9/2026,"R 138 486 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Maintenance, general neatness and hygiene of the ward kitchens and surroundings on a daily basis. Adherence to OHS and IPC policies. Render assistance to the supervisor with regards to general housekeeping duties such as control of cleaning and household equipment and upkeep of linen. Responsible to help with handling of clean and soiled linen on ward level according to IPC policies and ward systems. Perform ward food service duties according to HACCP principles and food service unit policies.","Ms E Volschenk, tel.no. (023) 626-8565",Basic numeracy and literacy skills.,Permanent Reference No: CWD202/2025 Robertson Hospital
Administrative Officer: Supply Chain Management (Asset Management),MHS826/2025 Karl Bremer Hospital,Karl Bremer Hospital,1/9/2026,"R 325 101- R 382 959 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).",Asset Register maintenance. Management of the Asset verification and reconciliation process. Management of the disposal and loss control processes. Management of the Asset procurement process. Management of asset reporting. Effective Human Resources Management. Support to Supervisor and Management.,"Mr W Jacobs, tel. no. (021) 918 1208",Senior Certificate (or equivalent) with Mathematics and/or Accountancy as passed subject and/or Senior Certificate (or equivalent) with experience/competencies that focuses on the Key Performance Areas (KPA’s) of the post.,Permanent Reference No: MHS826/2025 Karl Bremer Hospital
Household Aid (2 Posts),GRD198/2025 Southern Cape TB Centre,Southern Cape TB Centre,1/9/2026,"R 138 486 - R 163 131 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Deliver an effective cleaning service such as dusting, washing, scrubbing, polishing, washing and refuse removal. Adhere to safety measures and ensure adherence to Occupational Health and Safety policies and Infection Prevention Control measures. Render assistance to the supervisor with general housekeeping duties such as control of cleaning and household equipment, care and control of linen and serving of meals to patients.",Mr R Lewis-Peters Tel. no. (044) 814 - 1117,Basic numeracy and literacy.,Permanent Reference No: GRD198/2025 Southern Cape TB Centre
Food Services Supervisor,MHS819/2025 Stikland Hospital,Stikland Hospital,1/9/2026,"R 193 359 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Order, receipt, storage and issue all food provisions and stock in the foodservice unit. Supervise food pre-preparation and production of all full and therapeutic diets. Supervise the weighing, dishing and distribution of food to various wards. Supervise hygiene, use and maintenance of equipment and occupational health and safety. Supervise adherence to prescripts, elementary control measures and standard operational procedures. Supervise human resources, financial resources and do stock control. Process food statistics and keep records.","Ms R Potgieter, tel. no. (021) 940-4575",General Education and training Certificate (GETC)/Grade 9 (Std 7).,Permanent Reference No: MHS819/2025 Stikland Hospital
